id,class,img_height,img_width,height_width_dims,aspect_ratio,img_height_width
the_00's_dkny_fleece_lined_jacket_(s)_1_45_25_06_2022.jpg,not_drip,590,394,590_394,0.67,590_394
the_00's_helly_hansen_puffer_(l)_2_05_12_2021.jpg,not_drip,590,394,590_394,0.67,590_394
the_00's_rain_jacket_(m)_1_8_25_06_2022.jpg,not_drip,590,394,590_394,0.67,590_394
the_1992_cheers_tv_show_graphic_tee_(xl)_5_05_12_2021.jpg,not_drip,590,394,590_394,0.67,590_394
the_80's_fila_jacket_(xxl)_1_39_25_06_2022.jpg,drip,590,394,590_394,0.67,590_394
the_80's_givenchy_shell_suit_jacket_(xxl)_1_05_12_2021.jpg,drip,590,394,590_394,0.67,590_394
the_80's_hiker_jacket_(xl)_1_18_25_06_2022.jpg,not_drip,590,394,590_394,0.67,590_394
the_80's_puffer_jacket_(xs)_1_17_25_06_2022.jpg,not_drip,590,394,590_394,0.67,590_394
the_80's_reebok_jacket_(l)_1_40_25_06_2022.jpg,drip,590,394,590_394,0.67,590_394
the_80's_reebok_jacket_(l)_6_05_12_2021.jpg,not_drip,590,394,590_394,0.67,590_394
the_80's_reebok_shell_jacket_(l)_5_05_12_2021.jpg,not_drip,590,394,590_394,0.67,590_394
the_80's_shell_suit_jacket_(l)_1_33_25_06_2022.jpg,not_drip,590,394,590_394,0.67,590_394
the_80's_shell_suit_jacket_(l)_1_34_25_06_2022.jpg,not_drip,590,394,590_394,0.67,590_394
the_90's_adidas_track_jacket_(xl)_1_44_25_06_2022.jpg,not_drip,590,394,590_394,0.67,590_394
the_90's_berghaus_fleece_(xxl)_1_09_12_2021.jpg,drip,590,394,590_394,0.67,590_394
the_90's_dkny_puffer_jacket_(l)_1_05_12_2021.jpg,not_drip,590,394,590_394,0.67,590_394
the_90's_fairfield_football_shirt_(l)_1_47_25_06_2022.jpg,drip,590,394,590_394,0.67,590_394
the_90's_fila_coat_(l)_2_05_12_2021.jpg,not_drip,590,394,590_394,0.67,590_394
the_90's_fila_coat_(l)_4_05_12_2021.jpg,not_drip,590,394,590_394,0.67,590_394
the_90's_fila_puffer_(l)_2_05_12_2021.jpg,not_drip,590,394,590_394,0.67,590_394
the_90's_fila_puffer_(xxl)_2_05_12_2021.jpg,not_drip,590,394,590_394,0.67,590_394
the_90's_fila_rain_coat_(xxl)_2_05_12_2021.jpg,drip,590,394,590_394,0.67,590_394
the_90's_helly_hansen_hiking_jacket_(l)_3_05_12_2021.jpg,not_drip,590,394,590_394,0.67,590_394
the_90's_jacket_(m)_1_6_25_06_2022.jpg,not_drip,590,394,590_394,0.67,590_394
the_90's_jacket_(m)_5_6_25_06_2022.jpg,not_drip,590,394,590_394,0.67,590_394
the_90's_kappa_ski_coat_(m)_2_05_12_2021.jpg,not_drip,590,394,590_394,0.67,590_394
the_90's_reebok_patterned_shell_jacket_(l)_1_05_12_2021.jpg,drip,590,394,590_394,0.67,590_394
the_90's_reebok_puffer_(xl)_2_05_12_2021.jpg,not_drip,590,394,590_394,0.67,590_394
the_90's_sergio_tacchini_patterned_shell_jacket_(s)_1_05_12_2021.jpg,not_drip,590,394,590_394,0.67,590_394
the_90's_sergio_tacchini_shell_jacket_(m)_1_05_12_2021.jpg,not_drip,590,394,590_394,0.67,590_394
the_90's_trippy_reebok_jacket_(xl)_5_05_12_2021.jpg,drip,590,394,590_394,0.67,590_394
the_90's_umbro_shell_jacket_(l)_1_3_25_06_2022.jpg,drip,590,394,590_394,0.67,590_394
the_90's_umbro_track_jacket_(l)_2_05_12_2021.jpg,drip,590,394,590_394,0.67,590_394
the_acdc_hoodie_(xl)_2_09_12_2021.jpg,drip,590,394,590_394,0.67,590_394
the_adidas_coat_(l)_2_05_12_2021.jpg,drip,590,394,590_394,0.67,590_394
the_adidas_coat_(l)_3_05_12_2021.jpg,not_drip,590,394,590_394,0.67,590_394
the_adidas_coat_(s)_2_05_12_2021.jpg,not_drip,590,394,590_394,0.67,590_394
the_adidas_fleece_(l)_5_05_12_2021.jpg,not_drip,590,394,590_394,0.67,590_394
the_adidas_fleece_(m)_1_05_12_2021.jpg,not_drip,590,394,590_394,0.67,590_394
the_adidas_fleece_(m)_1_1_25_06_2022.jpg,not_drip,590,394,590_394,0.67,590_394
the_adidas_fleece_(m)_2_05_12_2021.jpg,not_drip,590,394,590_394,0.67,590_394
